FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
01001,Autauga County,12.1,11.6,13.6,12.4,Autauga County,91.8
01003,Baldwin County,12.4,11.3,11.7,9.2,Baldwin County,114.6
01005,Barbour County,12.9,15.7,17.1,19.9,Barbour County,31
01007,Bibb County,11,11.3,14.8,14.9,Bibb County,36.8
01009,Blount County,14,13.9,15,13.1,Blount County,88.9
01011,Bullock County,15.3,20.2,17.6,22,Bullock County,17.5
01013,Butler County,15.4,16.5,17.5,18,Butler County,27
01015,Calhoun County,13.5,14.2,15,14.7,Calhoun County,195.7
01017,Chambers County,14.4,15.6,16.2,16.5,Chambers County,57.4
01019,Cherokee County,14.1,13.1,14.7,11.9,Cherokee County,46.9
01021,Chilton County,12.8,12.3,13.9,12.8,Chilton County,63
01023,Choctaw County,16.8,17.7,18.2,18,Choctaw County,15.2
01025,Clarke County,15.5,15.9,16.3,16.3,Clarke County,20.9
01027,Clay County,15.1,14.4,15.6,13.6,Clay County,23.1
01029,Cleburne County,13.7,12.9,13.7,11.6,Cleburne County,26.7
01031,Coffee County,12.8,12.4,16.2,15.6,Coffee County,73.6
01033,Colbert County,14.2,13.3,18.8,18.5,Colbert County,91.8
01035,Conecuh County,17,18.4,17.5,17.3,Conecuh County,15.6
01037,Coosa County,15.6,15.5,17.3,17.3,Coosa County,17.7
01039,Covington County,14.2,13.3,15.8,13.6,Covington County,36.6
01041,Crenshaw County,14.7,14.9,16.6,16.3,Crenshaw County,22.8
01043,Cullman County,13.3,12.6,15.4,13.6,Cullman County,109.4
01045,Dale County,13.8,14.1,14.3,14,Dale County,89.6
01047,Dallas County,13.5,16.4,18.5,19.4,Dallas County,44.8
01049,DeKalb County,13.4,12.4,14.7,12.1,DeKalb County,91.5
01051,Elmore County,12.4,12.2,14.1,12.7,Elmore County,128.2
01053,Escambia County,12.7,13.8,17.6,18,Escambia County,40.5
01055,Etowah County,14,14.2,17.1,16.6,Etowah County,195.2
01057,Fayette County,16,15.7,15.9,14.4,Fayette County,27.5
01059,Franklin County,14.3,14.2,14.8,13.1,Franklin County,50
01061,Geneva County,14,13.2,14.9,13,Geneva County,46.6
01063,Greene County,17.6,20.9,19.3,22.6,Greene County,14
01065,Hale County,15.1,17.4,15.9,16.1,Hale County,24.5
01067,Henry County,14,14.6,19.1,18.4,Henry County,30.8
01069,Houston County,12.7,13.3,14.3,13.2,Houston County,175.1
01071,Jackson County,13.7,13.1,15.8,14.1,Jackson County,49.4
01073,Jefferson County,11,12.2,13,12.9,Jefferson County,592.5
01075,Lamar County,14.3,13.3,15.7,14.2,Lamar County,24.1
01077,Lauderdale County,13.3,11.9,14.8,13.6,Lauderdale County,138.8
01079,Lawrence County,14.1,14,16.1,15.2,Lawrence County,49.7
01081,Lee County,9.7,10,9.7,9.3,Lee County,230.8
01083,Limestone County,10.7,10.6,13.4,11.8,Limestone County,147.8
01085,Lowndes County,17.1,21.1,21.3,25.4,Lowndes County,15.8
01087,Macon County,15.3,17.7,17.1,19.4,Macon County,35.2
01089,Madison County,11.7,11.6,12,11.1,Madison County,417.7
01091,Marengo County,16.4,18.4,20.3,20.1,Marengo County,21.5
01093,Marion County,13.8,12.1,19.6,17.8,Marion County,41.5
01095,Marshall County,14,13.1,13.7,12,Marshall County,164.4
01097,Mobile County,11.7,12.3,15.8,15.3,Mobile County,335.9
01099,Monroe County,13.9,13.8,17.8,17.9,Monroe County,22.5
01101,Montgomery County,13.4,15.1,13.3,13.7,Montgomery County,292.5
01103,Morgan County,12.1,11.7,13.3,12,Morgan County,206.3
01105,Perry County,16.8,19.3,20.1,23,Perry County,14.7
01107,Pickens County,15.5,15.8,16.3,16.4,Pickens County,22.4
01109,Pike County,13.6,15.5,13.4,13.6,Pike County,48.9
01111,Randolph County,14.8,14.8,15.9,14,Randolph County,39.5
01113,Russell County,12.8,13.4,13,12.8,Russell County,82.6
01115,St. Clair County,13.8,13.1,13.8,11.8,St. Clair County,132.3
01117,Shelby County,9.4,8.5,9.5,7.9,Shelby County,248.5
01119,Sumter County,15.1,16.8,19.2,20.8,Sumter County,15.2
01121,Talladega County,13.8,14.4,15.7,15,Talladega County,111.7
