State,FIPS Codes,County,Number of People with Diabetes 2010,Percentage of People with Diabetes 2010,Number of People with Diabetes 2013,Percentage of People with Diabetes 2013,Population,Housing units,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Alabama,1001,Autauga County,4560,11.8,5144,13,54571,22135,91.8,37.2
Alabama,1003,Baldwin County,16197,11.8,15367,10.4,182265,104061,114.6,65.5
Alabama,1005,Barbour County,2945,14.2,3813,18.4,27457,11829(r15033),31.0,13.4
Alabama,1007,Bibb County,1906,11.1,2557,14.8,22915,8981,36.8,14.4
Alabama,1009,Blount County,5841,14,5990,14.1,57322,23887,88.9,37.0
Alabama,1011,Bullock County,1436,17.5,1588,19.6,10914,4493,17.5,7.2
Alabama,1013,Butler County,2463,16,2676,17.7,20947,9964,27.0,12.8
Alabama,1015,Calhoun County,12146,13.9,13000,14.9,118572,53289,195.7,88.0
Alabama,1017,Chambers County,3860,15,4259,16.4,34215,17004,57.4,28.5
Alabama,1019,Cherokee County,2696,13.6,2685,13.3,25989,16267,46.9,29.4
Alabama,1021,Chilton County,3973,12.5,4299,13.3,43643,19278,63.0,27.8
Alabama,1023,Choctaw County,1793,17.3,1867,18.1,13859,7269,15.2,8.0
Alabama,1025,Clarke County,2936,15.7,3057,16.3,25833,12638,20.9,10.2
Alabama,1027,Clay County,1541,14.7,1503,14.6,13932,6776,23.1,11.2
Alabama,1029,Cleburne County,1466,13.3,1421,12.6,14972,6718,26.7,12.0
Alabama,1031,Coffee County,4639,12.6,5998,15.9,49948,22330,73.6,32.9
Alabama,1033,Colbert County,5635,13.7,7736,18.7,54428,25758,91.8,43.5
Alabama,1035,Conecuh County,1742,17.7,1700,17.4,13228,7093,15.6,8.3
Alabama,1037,Coosa County,1367,15.6,1516,17.3,11539,6478,17.7,10.0
Alabama,1039,Covington County,3888,13.7,4221,14.7,37765,18829,36.6,18.3
Alabama,1041,Crenshaw County,1513,14.8,1716,16.5,13906,6735,22.8,11.1
Alabama,1043,Cullman County,7750,13,8773,14.4,80406,37054,109.4,50.4
Alabama,1045,Dale County,5090,13.9,5209,14.1,50251,22677,89.6,40.4
Alabama,1047,Dallas County,4681,15.1,5741,19,43820,20208,44.8,20.6
Alabama,1049,DeKalb County,6541,12.9,6911,13.4,71109,31109,91.5,40.0
Alabama,1051,Elmore County,7220,12.3,8029,13.4,79303,32657,128.2,52.8
Alabama,1053,Escambia County,3785,13.2,5095,17.8,38319,16486,40.5,17.4
Alabama,1055,Etowah County,10970,14.1,13196,16.8,104430,47454,195.2,88.7
Alabama,1057,Fayette County,2042,15.8,1941,15.1,17241,8437,27.5,13.4
Alabama,1059,Franklin County,3273,14.2,3224,13.9,31704,14022,50.0,22.1
Alabama,1061,Geneva County,2737,13.6,2815,13.9,26790,12687,46.6,22.1
Alabama,1063,Greene County,1266,19.4,1362,21,9045,5007,14.0,7.7
Alabama,1065,Hale County,1860,16.3,1810,16,15760,7655,24.5,11.9
Alabama,1067,Henry County,1869,14.3,2471,18.7,17302,8891,30.8,15.8
Alabama,1069,Houston County,9662,13,10485,13.7,101547,45319,175.1,78.2
Alabama,1071,Jackson County,5333,13.4,6005,14.9,53227,24786,49.4,23.0
Alabama,1073,Jefferson County,56719,11.7,63518,13,658466(r38264),300552(r15062),592.5,270.5
Alabama,1075,Lamar County,1513,13.8,1612,14.9,14564,7354,24.1,12.2
Alabama,1077,Lauderdale County,8735,12.5,10000,14.2,92709,43791,138.8,65.6
Alabama,1079,Lawrence County,3582,14.1,3975,15.6,34339,15229,49.7,22.0
Alabama,1081,Lee County,9967,9.8,10562,9.5,140247(r38032),62391(r14841),230.8,102.7
Alabama,1083,Limestone County,6547,10.7,8334,12.6,82782,34977,147.8,62.5
Alabama,1085,Lowndes County,1583,19.3,1869,23.5,11299,5140,15.8,7.2
Alabama,1087,Macon County,2621,16.6,2736,18.4,21452,10259,35.2,16.8
Alabama,1089,Madison County,28724,11.7,29818,11.5,334811,146447,417.7,182.7
Alabama,1091,Marengo County,2653,17.4,3027,20.2,21027,10237,21.5,10.5
Alabama,1093,Marion County,3024,12.9,4349,18.7,30776,14737,41.5,19.9
Alabama,1095,Marshall County,9136,13.6,8867,12.8,93019,40342,164.4,71.3
Alabama,1097,Mobile County,35895,12.1,47210,15.6,412992(r38160),178196(r14961),335.9,144.9
Alabama,1099,Monroe County,2288,13.9,2914,17.8,23068,11333,22.5,11.0
Alabama,1101,Montgomery County,23796,14.3,22380,13.5,229363,101641,292.5,129.6
Alabama,1103,Morgan County,10447,11.9,11263,12.6,119490,51193,206.3,88.4
Alabama,1105,Perry County,1349,18.2,1538,21.7,10591,4737,14.7,6.6
Alabama,1107,Pickens County,2289,15.7,2406,16.4,19746,9483,22.4,10.8
Alabama,1109,Pike County,3525,14.6,3396,13.5,32899,15267,48.9,22.7
Alabama,1111,Randolph County,2487,14.8,2524,14.9,22913,11982,39.5,20.6
Alabama,1113,Russell County,5022,13.2,5554,12.9,52947,24595,82.6,38.4
Alabama,1115,St. Clair County,8342,13.5,8263,12.8,83593,35541,132.3,56.2
Alabama,1117,Shelby County,12610,8.9,12893,8.7,195085,80970,248.5,103.2
Alabama,1119,Sumter County,1614,16,2013,20.1,13763,6786,15.2,7.5
Alabama,1121,Talladega County,8572,14.1,9383,15.3,82291,37088,111.7,50.3
Alabama,1123,Tallapoosa County,4381,14,4325,13.7,41616,22111,58.1,30.9
Alabama,1125,Tuscaloosa County,14862,10.5,18203,12.3,194656,84872,147.3,64.2
Alabama,1127,Walker County,7574,15.1,8334,16.7,67023,30816,84.7,38.9
Alabama,1129,Washington County,1699,13.4,2231,17.8,17581,8407,16.3,7.8
Alabama,1131,Wilcox County,1476,18.1,1560,19.3,11670,5649,13.1,6.4
Alabama,1133,Winston County,2251,12.1,2454,13.2,24484,13469,39.9,22.0
Alaska,2013,Aleutians East Borough,210,7.7,220,7.6,3141,747,0.4,0.1
Alaska,2016,Aleutians West,310,6.7,301,6.2,5561,1929,1.3,0.4
Alaska,2020,Anchorage Municipality,14532,7,15227,7,291826,113032,171.2,66.3
Alaska,2050,Bethel Census Area,686,6.7,631,5.8,17013,5919,0.4,0.1
Alaska,2060,Bristol Bay Borough,63,8.3,61,8.5,997,969,2.0,1.9
Alaska,2068,Denali Borough,95,6.8,88,5.8,1826,1771,0.1,0.1
Alaska,2070,Dillingham Census Area,253,8.2,232,7.2,4847,2427,0.3,0.1
Alaska,2090,Fairbanks North Star,4269,6.1,4025,5.5,97581,41783,13.3,5.7
Alaska,2100,Haines Borough,163,8.3,159,7.9,2508,1631,1.1,0.7
Alaska,2105,Hoonah-Angoon 2009 Census,160,9.6,122,7.3,2150,1771,0.3,0.2
Alaska,2110,Juneau City and Borough,1453,6.3,1444,5.9,31275,13055,11.6,4.8
Alaska,2122,Kenai Peninsula Borough,2728,6.7,3072,7.2,55400,30578,3.4,1.9
Alaska,2130,Ketchikan Gateway Borough,715,7.2,915,8.9,13477,6166,2.8,1.3
Alaska,2150,Kodiak Island Borough,574,6.1,659,6.6,13592,5303,2.1,0.8
Alaska,2164,Lake and Peninsula Borough,91,8.4,83,7.4,1631(r38835),1502(r15613),0.1,0.1
Alaska,2170,Matanuska-Susitna Borough,4189,6.8,5510,8.2,88995,41329,3.6,1.7
Alaska,2180,Nome Census Area,462,7.8,372,6,9492,4008,0.4,0.2
Alaska,2185,North Slope Borough,525,7.6,460,6.5,9430,2500,0.1,0.0
Alaska,2188,Northwest Arctic Borough,327,7.2,310,6.5,7523,2707,0.2,0.1
Alaska,2195,Petersburg 2009 Census,200,7,173,7.1,3815,1994,1.2,0.6
Alaska,2198,Prince of Wales-Hyder 2009 Census,310,7.6,343,7.3,5559,2992,1.4,0.8
Alaska,2220,Sitka City and Borough,499,7.5,450,6.7,8881,4102,3.1,1.4
Alaska,2230,Skagway Municipality 2009 Census,52,6.5,56,6.4,968,636,2.1,1.4
Alaska,2240,Southeast Fairbanks Census,339,6.7,346,6.9,7029,3915,0.3,0.2
Alaska,2261,Valdez-Cordova Census Area,473,6.7,525,7.4,9636,6102,0.3,0.2
Alaska,2270,Wade Hampton Census Area,274,6.7,201,4.6,7459,2183,0.4,0.1
Alaska,2275,Wrangell City and Borough 2009 Census,157,8.7,162,8.9,2369,1428,0.9,0.6
Alaska,2282,Yakutat City and Borough,42,8.6,39,7.9,662,450,0.1,0.1
Alaska,2290,Yukon-Koyukuk Census Area,318,8.2,330,8.3,5588,4038,0.0,0.0
Arizona,4001,Apache County,6956,14.9,6994,14.4,71518,32514,6.4,2.9
Arizona,4003,Cochise County,8738,9,9962,10.3,131346,59041,21.3,9.6
Arizona,4005,Coconino County,6987,7.3,7471,7.6,134421,63321,7.2,3.4
Arizona,4007,Gila County,4565,11.2,4592,11.2,53597,32698,11.3,6.9
Arizona,4009,Graham County,2720,10.8,2651,10.3,37220,12980,8.1,2.8
Arizona,4011,Greenlee County,532,9.3,660,10.7,8437,4372,4.6,2.4
Arizona,4012,La Paz County,2207,13.4,2438,14.8,20489,16049,4.6,3.6
Arizona,4013,Maricopa County,215628,8,260341,9,3817117,1639279,414.9,178.2
Arizona,4015,Mohave County,18673,12,20520,12.8,200186,110911,15.0,8.3
Arizona,4017,Navajo County,8402,11.6,9696,13.1,107449,56938,10.8,5.7
Arizona,4019,Pima County,57201,7.9,65659,8.8,980263,440909,106.7,48.0
Arizona,4021,Pinal County,28340,10.4,35097,12.3,375770,159222,70.0,29.7
Arizona,4023,Santa Cruz County,2014,6.4,2569,8,47420,18010,38.3,14.6
Arizona,4025,Yavapai County,15463,9.3,18072,10.5,211033,110432,26.0,13.6
Arizona,4027,Yuma County,13053,9.7,17867,12.6,195751,87850,35.5,15.9
Arkansas,5001,Arkansas County,2033,14.4,1813,12.9,19019,9436,19.2,9.5
Arkansas,5003,Ashley County,1894,11.9,2286,14.5,21853,10137,23.6,11.0
Arkansas,5005,Baxter County,3592,10.8,5278,16,41513,22580,74.9,40.7
Arkansas,5007,Benton County,13473,8.7,16113,9.6,221339,93084,261.2,109.9
Arkansas,5009,Boone County,3231,11.8,3490,12.4,36903,16827,62.5,28.5
Arkansas,5011,Bradley County,1188,14,1094,13.1,11508,5860,17.7,9.0
Arkansas,5013,Calhoun County,484,12,568,13.7,5368,2897,8.5,4.6
Arkansas,5015,Carroll County,2361,11.4,2720,13,27446,13559,43.6,21.5
Arkansas,5017,Chicot County,1336,15.2,1288,15.2,11800,5421,18.3,8.4
Arkansas,5019,Clark County,1938,11.5,1945,11.6,22995,10385,26.6,12.0
Arkansas,5021,Clay County,1531,12.7,1314,11.1,16083,8031,25.2,12.6
Arkansas,5023,Cleburne County,2613,12.9,2725,13.5,25970,15826,46.9,28.6
Arkansas,5025,Cleveland County,821,13,825,13,8689,4064,14.5,6.8
Arkansas,5027,Columbia County,2263,12.7,2278,12.9,24552,11596,32.1,15.1
Arkansas,5029,Conway County,2015,12.9,2170,13.7,21273,9720,38.5,17.6
Arkansas,5031,Craighead County,7898,11.5,9533,13.1,96443,40515,136.4,57.3
Arkansas,5033,Crawford County,4490,10.2,5087,11.4,61948,26115,104.4,44.0
Arkansas,5035,Crittenden County,4849,14,5454,15.8,50902,21489,83.5,35.2
Arkansas,5037,Cross County,1682,13,1742,13.6,17870,7853,29.0,12.7
Arkansas,5039,Dallas County,817,13.6,860,14.4,8116,4305,12.2,6.5
Arkansas,5041,Desha County,1272,13.7,1352,15.1,13008,6261,16.9,8.2
Arkansas,5043,Drew County,1687,12.6,1866,13.6,18509,8408,22.3,10.2
Arkansas,5045,Faulkner County,8507,10.4,9698,11.2,113237,46612,174.8,71.9
Arkansas,5047,Franklin County,1596,12.1,1822,13.8,18125,8021,29.8,13.2
